ID_REF,Gene Symbol,Gene Title,Normal_Mean,Tumor_Mean,Log2_Fold_Change,P_Value,Adjusted_P_Value
213706_at,GPD1,glycerol-3-phosphate dehydrogenase 1 (soluble),1305.2264325581395,230.29491395348833,-2.497599560393119,1.4425957876725065e-09,2.414928462894677e-07
218723_s_at,RGCC,regulator of cell cycle,1650.8009302325581,653.9952093023255,-1.3344835684477798,1.4522300140370987e-09,2.414928462894677e-07
202931_x_at,BIN1,bridging integrator 1,809.2966976744186,273.96853488372085,-1.5591837229056662,1.5151701959672293e-09,2.5009287019805755e-07
204134_at,PDE2A,"phosphodiesterase 2A, cGMP-stimulated",876.6169534883724,364.93113953488376,-1.2620192059759665,1.5505776947466588e-09,2.5405531450029263e-07
218237_s_at,SLC38A1,"solute carrier family 38, member 1",737.2890232558137,2210.42411627907,1.582718123784948,1.9958831666830415e-09,3.103954355481209e-07
201539_s_at,FHL1,four and a half LIM domains 1,810.7163953488372,314.30207209302324,-1.364241102783542,1.9891291385314802e-09,3.103954355481209e-07
213071_at,DPT,dermatopontin,2034.3389069767436,317.3766023255814,-2.6764628191304665,2.005876350533115e-09,3.103954355481209e-07
201425_at,ALDH2,aldehyde dehydrogenase 2 family (mitochondrial),4519.729139534885,1831.201720930232,-1.302977131484303,2.0991028652075485e-09,3.2037198044808084e-07
211745_x_at,HBA1 /// HBA2,"hemoglobin, alpha 1 /// hemoglobin, alpha 2",5210.885627906978,836.9817209302328,-2.6368147454952338,2.18897372225706e-09,3.3181565614322494e-07
220327_at,VGLL3,vestigial-like family member 3,914.1349069767442,441.95828372093024,-1.046813600542763,2.484104416968331e-09,3.6902199148870215e-07
218736_s_at,PALMD,palmdelphin,2026.0492558139538,635.5161860465115,-1.671112039493651,2.8166436567018875e-09,4.1565079869065005e-07
216834_at,RGS1,regulator of G-protein signaling 1,548.2255372093022,1350.9922325581397,1.299616250292143,2.9702440818486803e-09,4.3543387418311936e-07
201426_s_at,VIM,vimentin,3749.424674418605,1846.6577883720927,-1.0213563920014963,3.1687954811221733e-09,4.615050307571594e-07
202286_s_at,TACSTD2,tumor-associated calcium signal transducer 2,976.2290046511627,3728.6219069767426,1.9322607944050374,3.6304920024819544e-09,5.253133330604246e-07
207275_s_at,ACSL1,acyl-CoA synthetase long-chain family member 1,2428.8121162790703,987.7227674418605,-1.2972068037888043,4.255927626449622e-09,5.994335604549524e-07
203296_s_at,ATP1A2,"ATPase, Na+/K+ transporting, alpha 2 polypeptide",815.23318372093,336.00159302325585,-1.2762259530181617,4.319879152431645e-09,6.016241697102147e-07
209183_s_at,C10orf10,chromosome 10 open reading frame 10,1349.3205116279069,389.65353023255807,-1.7893403289234715,4.840501258379201e-09,6.62056003880906e-07
266_s_at,CD24,CD24 molecule,402.48181162790695,2773.110430232558,2.7814496733084724,4.827633444031173e-09,6.62056003880906e-07
209614_at,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",981.8002976744185,246.73823255813954,-1.9880817629213217,5.0200435124883935e-09,6.779492702350235e-07
58780_s_at,ARHGEF40,Rho guanine nucleotide exchange factor (GEF) 40,1027.4835813953484,333.71547209302327,-1.6195116173156938,5.336396531094249e-09,7.163308668817659e-07
211458_s_at,GABARAPL1 /// GABARAPL3,"GABA(A) receptor-associated protein like 1 /// GABA(A) receptors associated protein like 3, pseudogene",1252.487430232558,448.19121627906964,-1.4805459072233629,5.8594994285439376e-09,7.725871347115063e-07
209512_at,HSDL2,hydroxysteroid dehydrogenase like 2,691.9323325581396,216.5196581395349,-1.6715686855638887,6.035277403091858e-09,7.86456645456701e-07
209686_at,S100B,S100 calcium binding protein B,822.9033488372094,240.39751395348839,-1.771064287933931,6.286248200956816e-09,8.096905703001198e-07
202464_s_at,PFKFB3,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3",2805.633627906977,1340.6551162790702,-1.0648268874298812,6.611081373699774e-09,8.417984357151547e-07
203336_s_at,ITGB1BP1,integrin beta 1 binding protein 1,1082.5288302325575,410.01850465116286,-1.3984622880572835,6.733780404579679e-09,8.525501633820965e-07
203986_at,FAM47E /// FAM47E-STBD1 /// STBD1,"family with sequence similarity 47, member E /// FAM47E-STBD1 readthrough /// starch binding domain 1",1455.1143232558143,453.1310232558139,-1.680943128943758,7.477825978673403e-09,9.414033688292623e-07
202283_at,SERPINF1,"serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1",2212.1349302325584,904.4296023255814,-1.2894170316596487,8.085474818520238e-09,1.0065286892798127e-06
218677_at,S100A14,S100 calcium binding protein A14,569.9606744186048,1227.2259302325576,1.1051126797867579,8.294753962630043e-09,1.0268444586071403e-06
201135_at,ECHS1,"enoyl CoA hydratase, short chain, 1, mitochondrial",2124.411674418605,1023.2399790697676,-1.0531885283596727,8.92888710460529e-09,1.0872261822509274e-06
202003_s_at,ACAA2,acetyl-CoA acyltransferase 2,1662.9118604651164,728.1352325581396,-1.1903206932781811,8.89010612560262e-09,1.0872261822509274e-06
208607_s_at,SAA1 /// SAA2 /// SAA2-SAA4,serum amyloid A1 /// serum amyloid A2 /// SAA2-SAA4 readthrough,1303.7513186046513,311.5313930232559,-2.0617018425752756,8.904656596360952e-09,1.0872261822509274e-06
204389_at,MAOA,monoamine oxidase A,923.0431860465117,449.13730232558135,-1.037595154912324,9.589559683975699e-09,1.155049505070435e-06
209513_s_at,HSDL2,hydroxysteroid dehydrogenase like 2,1240.6173674418603,435.2832139534884,-1.5088837708079834,9.714891538985553e-09,1.1638544524904036e-06
214439_x_at,BIN1,bridging integrator 1,1319.9436976744184,557.3477674418605,-1.242333085072187,1.1385850126977639e-08,1.3197221008843028e-06
205610_at,MYOM1,myomesin 1,859.5457441860466,253.0637976744186,-1.7600610678867161,1.143052396314098e-08,1.3197221008843028e-06
221747_at,TNS1,tensin 1,2309.6792093023255,838.1104186046512,-1.4613844122934976,1.192443713391024e-08,1.369650683788257e-06
216894_x_at,CDKN1C,"cyclin-dependent kinase inhibitor 1C (p57, Kip2)",514.833534883721,222.26143720930233,-1.208171483863817,1.1989900437803462e-08,1.3701074433619207e-06
205412_at,ACAT1,acetyl-CoA acetyltransferase 1,2673.845069767442,1315.4619069767446,-1.0227895550136246,1.288833546918747e-08,1.4578212145172812e-06
218186_at,RAB25,"RAB25, member RAS oncogene family",218.4143651162791,726.1065488372094,1.7285088070185164,1.3171378160556252e-08,1.4823122199579544e-06
202990_at,PYGL,"phosphorylase, glycogen, liver",1573.4887906976746,779.5233720930233,-1.0123697482805736,1.5573595002359653e-08,1.6928117923784396e-06
206100_at,CPM,carboxypeptidase M,954.9857906976747,416.9532162790697,-1.1936477120227529,1.7231437370593287e-08,1.8549184489320298e-06
201664_at,SMC4,structural maintenance of chromosomes 4,295.6000279069767,727.7396976744185,1.2968848492801017,2.097209334488703e-08,2.1521201362020003e-06
201106_at,GPX4,glutathione peroxidase 4,1967.1806511627906,894.2209069767439,-1.1365470112658147,2.0892725396142214e-08,2.1521201362020003e-06
212122_at,RHOQ,ras homolog family member Q,580.3881325581395,218.16404418604657,-1.407490492380637,2.2360940223390654e-08,2.251550403038131e-06
201690_s_at,TPD52,tumor protein D52,1010.7884418604652,2303.6695813953484,1.187652263703061,2.3076181097923298e-08,2.305858939035986e-06
202862_at,FAH,fumarylacetoacetate hydrolase (fumarylacetoacetase),989.8662790697676,449.22900000000004,-1.1380313875425074,2.4077980762495832e-08,2.338975981644397e-06
206243_at,TIMP4,TIMP metallopeptidase inhibitor 4,985.5858837209304,133.32084418604651,-2.8767614425602575,2.412706145451302e-08,2.338975981644397e-06
205824_at,HSPB2,heat shock 27kDa protein 2,202.14912790697676,79.60074883720931,-1.3336740237064693,2.3787534821044965e-08,2.338975981644397e-06
219298_at,ECHDC3,enoyl CoA hydratase domain containing 3,675.6145069767441,199.87973720930233,-1.7520020632255546,2.4142372022537864e-08,2.338975981644397e-06
203851_at,IGFBP6,insulin-like growth factor binding protein 6,1375.3283023255813,540.3985581395349,-1.346061693734594,2.407777565617674e-08,2.338975981644397e-06
201131_s_at,CDH1,"cadherin 1, type 1, E-cadherin (epithelial)",520.8863581395349,2027.4302790697673,1.958556119074529,2.4513476415665307e-08,2.3562896333031537e-06
209581_at,PLA2G16,"phospholipase A2, group XVI",1675.5991395348838,310.59841860465116,-2.427777977429788,2.4532567200391852e-08,2.3562896333031537e-06
204997_at,GPD1,glycerol-3-phosphate dehydrogenase 1 (soluble),963.7564627906977,129.1466837209302,-2.890026252472801,2.4775909755300457e-08,2.369448914495108e-06
204223_at,PRELP,proline/arginine-rich end leucine-rich repeat protein,1708.1702558139536,575.445723255814,-1.568039436867639,2.7737044920033806e-08,2.586044234113445e-06
213765_at,MFAP5,microfibrillar associated protein 5,1153.6570000000002,522.0059558139534,-1.1425650707043915,2.9150055743309217e-08,2.694434500736774e-06
203435_s_at,MME,membrane metallo-endopeptidase,768.6554883720929,380.71676744186044,-1.0117102537293374,2.9262359160718903e-08,2.694434500736774e-06
205932_s_at,MSX1,msh homeobox 1,634.152711627907,279.8513139534884,-1.177296952455091,3.300335439224466e-08,2.9653780077515634e-06
213397_x_at,RNASE4,"ribonuclease, RNase A family, 4",2426.0573488372092,1190.751953488372,-1.0261242080357642,3.4437525925670055e-08,3.069485560806823e-06
213150_at,HOXA10,homeobox A10,649.2630813953486,290.4188069767442,-1.1579295312353097,3.5241417825216384e-08,3.103891357309473e-06
208789_at,PTRF,polymerase I and transcript release factor,2624.919069767442,1080.4044418604653,-1.279916265977141,3.54621750205794e-08,3.111037976313271e-06
204039_at,CEBPA,"CCAAT/enhancer binding protein (C/EBP), alpha",1680.6905348837213,779.465465116279,-1.1075055441213746,3.619181834273201e-08,3.1625972083572442e-06
217730_at,MIR6513 /// TMBIM1,microRNA 6513 /// transmembrane BAX inhibitor motif containing 1,795.7219674418603,336.262288372093,-1.2402053441912089,4.0189715110383186e-08,3.457712053299879e-06
209602_s_at,GATA3,GATA binding protein 3,217.85442790697672,1086.3222465116278,2.3127360927604497,4.5530945703737146e-08,3.85766563922576e-06
201890_at,RRM2,ribonucleotide reductase M2,929.2073953488369,2373.607488372094,1.3520647475805667,4.755264970807398e-08,3.998549786584953e-06
204159_at,CDKN2C,"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)",1718.4809418604652,334.43027906976744,-2.3578882945924358,5.1218605074218986e-08,4.211454527191224e-06
201286_at,SDC1,syndecan 1,234.25249767441863,911.0396953488375,1.954886577073243,5.5017676235243224e-08,4.490691866483241e-06
219563_at,LINC00341 /// SYNE3,"long intergenic non-protein coding RNA 341 /// spectrin repeat containing, nuclear envelope family member 3",2457.4392325581393,1199.9014651162793,-1.0336249135471862,5.690154844314913e-08,4.610680741667971e-06
209576_at,GNAI1,"guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1",803.4699069767441,359.4411674418605,-1.1582746580838081,5.7483871791333195e-08,4.640989547558977e-06
221841_s_at,KLF4,Kruppel-like factor 4 (gut),2700.6643023255815,1051.4195186046513,-1.3601385117792077,6.122793505230152e-08,4.89011497050335e-06
202963_at,RFX5,"regulatory factor X, 5 (influences HLA class II expression)",359.52006976744184,769.2404651162789,1.0952293431144644,6.495456469978263e-08,5.1325622879619015e-06
213605_s_at,,,487.0342372093023,1187.1559534883725,1.2836699457686371,6.906393804692731e-08,5.418844124998877e-06
201325_s_at,EMP1,epithelial membrane protein 1,2127.9438139534886,892.1592325581393,-1.2531485681177736,7.435475502741552e-08,5.693632323972165e-06
201005_at,CD9,CD9 molecule,461.69757674418616,1932.4971162790698,2.0630711644067663,7.51549231657831e-08,5.735195729120359e-06
212219_at,PSME4,"proteasome (prosome, macropain) activator subunit 4",494.37220930232553,1093.5785348837207,1.1437906302644552,7.851356918902359e-08,5.930569024539026e-06
212112_s_at,STX12,syntaxin 12,1042.9880465116282,417.57751162790703,-1.3185384844061345,8.134349617085686e-08,6.123571368835146e-06
218031_s_at,FOXN3,forkhead box N3,456.8229744186047,132.90146511627907,-1.773618115506652,8.358662066784342e-08,6.271248041554057e-06
212282_at,TMEM97,transmembrane protein 97,425.0961860465118,1200.9094186046511,1.4960771288074246,8.552448948914221e-08,6.3867361094241185e-06
203358_s_at,EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit,208.84693953488375,528.6075255813954,1.3355861998832448,8.569914718475122e-08,6.3867361094241185e-06
